name,l,b,n16,n50,n84,f16,f50,f84,m16,m50,m84,d16,d50,d84,p16,p50,p84,sfore16,sfore50,sfore84,sback16,sback50,sback84,mdwarf,new,Extinction,X,Y,Z,Vrad_observed,Vrad_observed_err,Vrad_predicted,Odds,ra,dec,rawwt
Cepheus,108.3,17.6,0.7555,0.7626,0.7696,0.2511,0.2545,0.2577,7.6532,7.6986,7.7665,339,346,357,0.0602,0.0733,0.0886,0.0528,0.0622,0.0736,0.0651,0.0683,0.0718,0,0,2.48,-103,313,104,-3.3,0.218,-2.7,23.72331582,315.0267698,73.47416917,135.0267698
Cepheus,110.1,17.4,0.7225,0.7288,0.7353,0.2392,0.2423,0.2454,7.5832,7.6412,7.7003,328,337,346,0.0336,0.0415,0.0514,0.0627,0.0724,0.0824,0.0665,0.0697,0.073,0,0,2.41,-110,301,100,-5.2,0.128,-2.9,24.00234268,319.5840926,74.66814841,139.58409260000002
Cepheus,104.0,14.5,0.6246,0.6295,0.6345,0.1515,0.1538,0.1556,7.5786,7.6692,7.7781,327,341,359,0.0317,0.0371,0.0434,0.0323,0.0416,0.0515,0.0587,0.0607,0.0628,0,0,1.62,-79,320,85,2.7,0.07,-2.1,22.07342312,314.6577622,68.31020811,134.65776219999998
Cepheus,112.8,20.8,0.5779,0.5871,0.5967,0.0965,0.0991,0.1016,7.7963,7.874,7.9339,362,375,386,0.0179,0.022,0.0267,0.0235,0.0287,0.0347,0.0667,0.0692,0.0718,0,0,1.08,-135,323,133,-7.5,0.142,-3.5,17.82670678,315.0637645,78.79323037,135.0637645
Cepheus,111.5,20.8,0.6632,0.6709,0.6778,0.1273,0.1311,0.1333,7.47,7.6039,7.6732,311,331,342,0.0177,0.0215,0.0267,0.0265,0.0335,0.0432,0.0423,0.0444,0.0465,0,0,1.35,-113,287,117,-6.8,0.269,-2.9,20.85562932,311.6371505,77.79593716,131.63715050000002
Cepheus,115.3,17.6,0.6093,0.615,0.621,0.1571,0.1597,0.1622,7.7386,7.7719,7.81,352,358,364,0.0176,0.0214,0.0259,0.0188,0.0224,0.0267,0.0581,0.0604,0.0628,0,0,1.71,-145,308,108,-3.8,0.117,-3.7,21.35400057,334.7999369,78.15021896,154.79993689999992
Cepheus,113.5,15.9,0.6754,0.6811,0.6869,0.1378,0.1396,0.1414,7.6095,7.6326,7.6534,332,336,339,0.0143,0.0174,0.0208,0.0271,0.0318,0.0372,0.0505,0.0523,0.0543,0,0,1.42,-128,296,92,-4.0,0.066,-3.3,24.78412009,333.0035318,75.76325565,153.00353180000002
Cepheus,114.6,16.5,0.7519,0.758,0.7646,0.1395,0.1413,0.143,7.6694,7.6983,7.7214,341,346,350,0.0169,0.0207,0.0252,0.0291,0.0359,0.0455,0.0477,0.0495,0.0514,0,0,1.38,-138,301,98,-3.4,0.333,-3.5,23.58049611,335.1677667,76.86509539,155.16776670000002
CygnusX,80.2,0.1,0.3829,0.387,0.391,1.1816,1.2995,1.3178,10.4259,10.4437,10.4786,1216,1226,1246,0.073,0.0923,0.1316,0.1299,0.1352,0.1401,0.1813,0.1885,0.1972,0,1,5.35,208,1208,2,,,3.9,21.47799411,309.0245345,40.88354153,129.02453450000002
CygnusX,82.3,1.0,0.2925,0.2968,0.3013,0.2572,0.2752,0.2937,9.3802,9.4075,9.4485,751,761,775,0.3035,0.337,0.3545,0.0261,0.0287,0.0305,0.2362,0.2406,0.2469,0,1,4.58,101,754,13,4.6,0.31,2.3,20.42279475,309.7695563,43.10007458,129.76955629999998
CygnusX,78.7,0.6,0.217,0.2199,0.2227,0.3673,0.3956,0.4277,9.7312,9.8168,9.8495,883,919,933,0.2686,0.2954,0.3209,0.0354,0.0402,0.0463,0.2111,0.2147,0.2185,0,1,3.67,180,901,9,,,4.2,14.12773409,307.3257172,39.97371121,127.32571719999999
CygnusX,80.3,2.9,0.299,0.3022,0.3057,0.3329,0.3456,0.3577,9.923,9.9422,9.9509,965,973,977,0.122,0.1417,0.1696,0.0251,0.0271,0.0293,0.198,0.2035,0.2094,0,1,3.79,163,957,49,7.2,0.083,3.5,12.19093721,306.0670758,42.61065754,126.0670758
CygnusX,80.0,-0.7,0.3643,0.3717,0.3791,0.8254,0.8686,0.91,9.9462,9.9818,10.0184,975,991,1008,0.0625,0.0985,0.1395,0.0893,0.095,0.1007,0.2574,0.2667,0.2774,0,1,5.07,172,975,-12,,,3.7,22.11396642,309.7040618,40.24049702,129.70406179999998
