name,l,b,n16,n50,n84,f16,f50,f84,m16,m50,m84,d16,d50,d84,p16,p50,p84,sfore16,sfore50,sfore84,sback16,sback50,sback84,Extinction,X,Y,Z,Vrad_observed,Vrad_observed_err,Vrad_predicted,ra,dec,rawwt
Bridge_l172.3_b-8.0,172.3,-8.0,0.5747,0.5823,0.5894,0.1225,0.1254,0.1278,6.0852,6.1944,6.2476,164,173,177,0.0246,0.0312,0.0392,0.0396,0.0482,0.0599,0.0449,0.0475,0.0504,1.38,-170,22,-24,6.5,0.006,-0.6,73.78185051571522,30.694263452892194,253.78185051571523
Bridge_l95.9_b8.1,95.9,8.1,0.607,0.6098,0.6128,0.2982,0.3004,0.3026,8.2586,8.3225,8.3616,448,461,470,0.0342,0.0417,0.05,0.0308,0.0362,0.0421,0.0931,0.0957,0.0983,3.22,-47,454,65,0.1,0.061,-1.4,314.45059482083144,58.11388828232414,134.45059482083144
Bridge_l201.4_b-9.7,201.4,-9.7,0.6244,0.6273,0.6301,0.2201,0.2217,0.2231,8.1614,8.1928,8.228,428,435,442,0.014,0.0171,0.0207,0.0665,0.0793,0.091,0.0561,0.0576,0.0592,2.34,-399,-156,-73,9.9,0.088,4.0,88.91503934247635,5.655616905162213,268.91503934247635
Bridge_l102.6_b15.3,102.6,15.3,0.5384,0.5445,0.5504,0.1606,0.1637,0.1666,7.6514,7.7956,7.8959,339,362,379,0.0328,0.041,0.0503,0.0211,0.0252,0.0307,0.0873,0.0908,0.0945,1.87,-76,341,95,2.4,0.053,-2.1,310.7763643936873,67.71083381916151,130.7763643936873
Bridge_l157.1_b-11.9,157.1,-11.9,0.4978,0.5113,0.5257,0.1185,0.1239,0.1296,7.2615,7.2873,7.3229,283,286,291,0.0286,0.0362,0.0457,0.0268,0.0299,0.0336,0.0819,0.0864,0.0919,1.47,-258,109,-59,-4.8,0.011,-2.8,57.696430275270146,38.7937905828634,237.69643027527013
Bridge_l150.4_b3.9,150.4,3.9,0.2831,0.2894,0.2956,0.0559,0.0602,0.0644,6.5736,6.6012,6.622,206,209,211,0.0888,0.1062,0.1259,0.023,0.0265,0.0302,0.079,0.0831,0.0878,1.4,-181,103,14,3.6,0.006,-2.5,66.15163874748293,54.969156897123014,246.15163874748293
Bridge_l96.4_b10.3,96.4,10.3,0.6301,0.6338,0.6374,0.2295,0.2315,0.2334,8.3174,8.3874,8.4783,460,475,496,0.0244,0.03,0.0363,0.0634,0.0758,0.0909,0.0814,0.0835,0.0857,2.44,-52,465,85,-2.1,0.066,-1.6,311.72350909682893,59.877993526900894,131.72350909682893
Bridge_l177.8_b-9.5,177.8,-9.5,0.5309,0.5371,0.5432,0.1505,0.1536,0.1565,6.0914,6.1495,6.2028,165,169,174,0.0219,0.0279,0.0356,0.026,0.0353,0.053,0.0474,0.0502,0.0531,1.77,-167,6,-28,7.3,0.006,-0.2,76.15899653668333,25.459344749167514,256.15899653668333
Bridge_l97.2_b9.9,97.2,9.9,0.5767,0.58,0.5832,0.2355,0.2376,0.2396,8.6829,8.7115,8.7471,545,552,561,0.0358,0.0428,0.0502,0.0817,0.0932,0.1055,0.0872,0.0895,0.0919,2.61,-68,539,94,-2.2,0.066,-2.2,313.3298881558779,60.24911716623422,133.32988815587788
Bridge_l169.9_b-9.2,169.9,-9.2,0.508,0.5148,0.522,0.1941,0.1987,0.2033,6.2213,6.2594,6.3017,175,178,182,0.0227,0.03,0.0393,0.0556,0.0649,0.0758,0.0514,0.0557,0.0605,2.34,-173,30,-28,4.9,0.006,-0.8,70.94131188230325,31.777175241744146,250.94131188230324
Bridge_l143.7_b10.1,143.7,10.1,0.4203,0.4277,0.4347,0.1037,0.1071,0.1105,7.0775,7.1173,7.1548,260,265,269,0.029,0.0361,0.0447,0.0157,0.018,0.0208,0.0587,0.0621,0.0658,1.46,-210,154,46,3.8,0.022,-3.4,65.79514124321271,64.05680582574733,245.7951412432127
Bridge_l164.5_b-5.7,164.5,-5.7,0.3643,0.3702,0.3759,0.0912,0.0946,0.0978,6.1831,6.22,6.2587,172,175,178,0.0263,0.0333,0.0423,0.036,0.0416,0.0482,0.0611,0.0644,0.068,1.49,-168,46,-17,2.7,0.009,-1.2,69.9143574035367,38.11777791197224,249.9143574035367
Bridge_l213.3_b-18.1,213.3,-18.1,0.6086,0.6143,0.6202,0.257,0.2607,0.2644,8.365,8.3985,8.4606,470,478,492,0.0249,0.032,0.0409,0.04,0.0464,0.0536,0.0777,0.0817,0.0859,2.8,-379,-249,-148,5.9,0.06,5.8,86.79468528011397,-8.458780081050936,266.794685280114
Bridge_l214.2_b-17.5,214.2,-17.5,0.6148,0.6208,0.6266,0.2662,0.2701,0.2738,9.0526,9.0802,9.0967,646,654,659,0.0302,0.0387,0.0488,0.0941,0.1044,0.1157,0.0773,0.0815,0.0856,2.87,-516,-350,-196,11.4,0.079,8.1,87.7185396161294,-8.969059656506872,267.7185396161294
Bridge_l217.2_b-12.3,217.2,-12.3,0.5304,0.5342,0.5382,0.1675,0.1694,0.1714,9.4075,9.4353,9.528,761,771,804,0.0255,0.0306,0.0364,0.0438,0.0502,0.0566,0.0669,0.069,0.0712,1.95,-600,-455,-164,10.6,0.176,10.1,93.73801244496336,-9.314505809590882,273.7380124449634
Bridge_l178.8_b-6.6,178.8,-6.6,0.4878,0.4924,0.4969,0.1808,0.1839,0.1868,6.2198,6.251,6.2907,175,177,181,0.0245,0.0311,0.0395,0.0189,0.0223,0.0267,0.0431,0.0458,0.049,2.25,-176,3,-20,7.6,0.005,-0.1,79.42279779216562,26.337230905149674,259.4227977921656
Bridge_l215.0_b-16.8,215.0,-16.8,0.5857,0.5914,0.5969,0.2318,0.2352,0.2386,9.3626,9.3985,9.4218,745,758,766,0.0261,0.0331,0.0419,0.0585,0.0644,0.0706,0.0711,0.0746,0.0782,2.55,-594,-416,-219,11.5,0.113,9.4,88.69320710220533,-9.354354605346131,268.69320710220535
Bridge_l216.6_b-13.9,216.6,-13.9,0.4655,0.4703,0.4751,0.1063,0.1083,0.1102,9.4611,9.5102,9.5365,780,798,807,0.0441,0.0515,0.0594,0.0511,0.0557,0.0606,0.0586,0.0609,0.0634,1.36,-621,-461,-191,10.0,0.096,10.3,92.02024903396783,-9.486246998985877,272.02024903396784
Bridge_l127.3_b13.7,127.3,13.7,0.5242,0.5307,0.5373,0.1249,0.1275,0.1301,6.714,6.7332,6.7565,220,222,224,0.0222,0.028,0.0356,0.0208,0.0241,0.0281,0.043,0.0461,0.049,1.47,-130,171,52,3.1,0.007,-2.8,30.625639039853073,75.96551094947571,210.62563903985307
Bridge_l156.0_b-14.3,156.0,-14.3,0.6568,0.6663,0.6762,0.1136,0.116,0.1185,7.3872,7.4082,7.418,300,303,304,0.0325,0.0412,0.0511,0.0411,0.0455,0.0506,0.0308,0.0335,0.0365,1.16,-268,119,-74,1.4,0.013,-3.0,54.71924556563142,37.596285603783755,234.7192455656314
Bridge_l158.6_b-12.1,158.6,-12.1,0.5516,0.5702,0.5895,0.1547,0.1629,0.1714,7.3879,7.4184,7.4559,300,304,309,0.0246,0.032,0.0419,0.0457,0.0503,0.0554,0.1069,0.1137,0.1209,1.81,-277,108,-63,-4.2,0.011,-2.8,58.953186335311806,37.689915654363574,238.9531863353118
Bridge_l132.3_b13.2,132.3,13.2,0.6036,0.6108,0.6182,0.1321,0.1345,0.137,7.3374,7.3511,7.3923,293,295,300,0.024,0.03,0.0374,0.0421,0.0459,0.0503,0.0388,0.0412,0.0437,1.44,-193,212,67,-2.1,0.01,-4.0,46.87799119140848,73.54484969334904,226.87799119140848
Bridge_l154.6_b2.7,154.6,2.7,0.2014,0.2036,0.2065,0.0013,0.0035,0.0063,6.9844,7.0836,7.1456,249,261,268,0.0935,0.1096,0.1306,0.0637,0.0704,0.0788,0.0631,0.0664,0.0702,1.4,-235,111,12,-1.3,0.009,-2.8,69.46353199385871,51.08795253675973,249.4635319938587
Bridge_l128.7_b13.8,128.7,13.8,0.4562,0.4626,0.4689,0.098,0.1005,0.1029,6.9167,6.9319,6.9519,241,243,245,0.0225,0.0286,0.0358,0.0201,0.0238,0.0282,0.0483,0.051,0.0539,1.27,-147,184,58,2.8,0.017,-3.1,36.00787475141814,75.62446421769124,216.00787475141814
Bridge_l93.5_b8.6,93.5,8.6,0.6397,0.6429,0.6464,0.2654,0.2675,0.2695,8.3782,8.4482,8.4835,473,489,497,0.0439,0.052,0.0607,0.0365,0.0424,0.0492,0.0813,0.0836,0.0859,2.8,-29,482,73,-1.8,0.055,-0.9,310.9739216835844,56.57387832721805,130.97392168358442
Bridge_l204.1_b-11.7,204.1,-11.7,0.6621,0.6659,0.6697,0.3648,0.4403,0.4448,8.0705,8.1147,8.1535,411,419,427,0.0201,0.0262,0.0338,0.0517,0.0631,0.0728,0.0751,0.0786,0.0821,4.55,-375,-167,-85,10.2,0.05,4.2,88.42652836738552,2.3692125219346942,268.4265283673855
Bridge_l100.0_b14.8,100.0,14.8,0.677,0.6823,0.6876,0.1325,0.1342,0.1357,7.6566,7.6896,7.7378,339,345,352,0.0335,0.0383,0.0439,0.0189,0.0226,0.0273,0.0544,0.0561,0.0577,1.37,-57,328,88,5.0,0.064,-1.5,308.2340792274425,65.35883834492782,128.23407922744252
Bridge_l202.4_b-8.9,202.4,-8.9,0.5555,0.5586,0.5618,0.2148,0.2167,0.2187,8.2704,8.3029,8.3368,450,457,464,0.0378,0.0442,0.0514,0.0265,0.0311,0.0367,0.0662,0.0683,0.0705,2.43,-418,-172,-70,10.8,0.088,4.4,90.09562944691606,5.173442094646604,270.09562944691606
Bridge_l92.4_b4.7,92.4,4.7,0.4626,0.4657,0.4689,0.3916,0.3961,0.4009,8.7642,8.7968,8.8209,566,574,580,0.0395,0.0505,0.0638,0.059,0.0648,0.0714,0.1325,0.1371,0.1419,5.01,-23,572,47,-3.3,0.062,-1.0,315.0330906742465,53.261391848563385,135.03309067424652
Bridge_l95.1_b6.5,95.1,6.5,0.5891,0.592,0.595,0.2438,0.2457,0.2476,8.4221,8.4748,8.5327,483,495,508,0.0187,0.0229,0.0283,0.0441,0.0525,0.0633,0.0751,0.0772,0.0793,2.68,-43,490,56,-0.8,0.108,-1.4,315.74189911247106,56.469798011102526,135.74189911247106
Bridge_l223.0_b-5.4,223.0,-5.4,0.5045,0.5064,0.5084,0.1689,0.1699,0.171,10.2774,10.2875,10.3089,1136,1141,1152,0.0142,0.0167,0.0196,0.0376,0.0412,0.0447,0.0609,0.0621,0.0633,2.03,-831,-775,-107,17.1,0.22,15.7,102.60259716030092,-11.40877233641562,282.6025971603009
Bridge_l96.9_b10.2,96.9,10.2,0.6331,0.6367,0.6403,0.1851,0.1867,0.1882,8.2988,8.3571,8.3934,456,469,477,0.0344,0.0404,0.0473,0.0266,0.031,0.0365,0.0626,0.0645,0.0665,1.96,-55,458,83,-2.5,0.054,-1.7,312.48671524237665,60.20484683716017,132.48671524237665
Bridge_l95.7_b7.8,95.7,7.8,0.6517,0.6547,0.6575,0.2528,0.2546,0.2563,8.116,8.2081,8.2764,419,438,452,0.0349,0.0414,0.0484,0.0474,0.0563,0.0664,0.0608,0.0627,0.0646,2.64,-43,431,59,-1.1,0.064,-1.3,314.6423012099552,57.76909710751612,134.64230120995518
Bridge_l203.7_b-8.2,203.7,-8.2,0.5811,0.5841,0.5868,0.1986,0.2003,0.2017,8.0803,8.1143,8.15,413,419,426,0.0168,0.0203,0.0243,0.0276,0.0324,0.0384,0.0578,0.0593,0.0609,2.2,-380,-166,-59,11.0,0.078,4.2,91.32680212577922,4.375093199446828,271.32680212577924
